person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_by_income
22,24000,2,6.0,4,0,7500,5.99,0.33,0,2,0.0009166666666666666
27,63000,3,11.0,1,0,11000,9.63,0.17,0,8,0.00042857142857142855
24,34400,3,0.0,0,1,15000,12.53,0.43,0,4,0.0006976744186046512
26,80000,0,10.0,4,0,6000,7.49,0.07,0,2,0.000325
23,56000,0,3.0,4,3,7000,14.96,0.13,0,2,0.00041071428571428574
23,37000,3,3.0,1,1,5000,11.71,0.14,0,3,0.0006216216216216216
39,45000,3,1.0,4,1,10000,10.74,0.22,0,16,0.0008666666666666666
30,60000,0,4.0,1,0,12000,6.91,0.2,0,5,0.0005
27,50000,3,0.0,4,2,10000,13.85,0.2,0,5,0.00054
26,70000,3,2.0,5,1,10000,9.91,0.14,0,4,0.00037142857142857143
35,60000,0,3.0,4,0,12000,7.9,0.2,0,9,0.0005833333333333334
24,45000,3,4.0,0,1,8000,10.37,0.18,0,3,0.0005333333333333334
33,82000,3,4.0,1,1,12000,11.99,0.15,0,9,0.0004024390243902439
27,70000,0,1.0,5,1,12000,11.11,0.17,0,8,0.0003857142857142857
27,120000,0,1.0,2,1,7500,10.36,0.06,0,5,0.000225
23,62000,0,7.0,1,0,7500,7.51,0.12,0,3,0.00037096774193548385
27,45000,0,6.0,1,1,10000,10.59,0.22,0,6,0.0006
24,52000,3,2.0,4,0,4500,7.43,0.09,0,2,0.00046153846153846153
25,20000,3,0.0,1,2,7000,14.79,0.35,0,4,0.00125
26,54600,3,10.0,3,2,1500,14.79,0.03,1,3,0.0004761904761904762
32,51996,3,5.0,2,1,14000,11.14,0.27,0,10,0.0006154319563043311
36,52000,3,5.0,0,1,17600,12.53,0.33,0,14,0.0006923076923076923
29,70000,3,8.0,3,1,14000,9.88,0.2,0,8,0.0004142857142857143
21,50000,3,5.0,1,0,8000,7.88,0.16,0,4,0.00042
26,58000,3,1.0,3,0,6000,7.49,0.1,0,4,0.0004482758620689655
25,72000,0,3.0,3,1,6000,11.12,0.08,0,4,0.00034722222222222224
32,120000,0,7.0,1,1,13000,12.69,0.11,0,10,0.0002666666666666667
27,36000,3,6.0,3,0,5000,7.9,0.14,0,7,0.00075
23,73440,0,7.0,1,1,7000,9.99,0.1,0,2,0.00031318082788671023
22,45000,3,2.0,4,0,6000,7.49,0.13,0,3,0.0004888888888888889
38,50000,2,4.0,4,0,7000,8.59,0.14,0,13,0.00076
23,60000,0,8.0,0,2,10000,14.26,0.17,0,3,0.00038333333333333334
38,172000,2,8.0,3,1,20000,12.53,0.12,0,12,0.00022093023255813954
37,42000,3,7.0,5,2,2500,13.06,0.06,0,11,0.0008809523809523809
27,120000,0,2.0,5,1,7200,9.99,0.06,0,9,0.000225
22,40000,3,2.0,3,2,18200,13.99,0.45,1,4,0.00055
26,45000,3,10.0,3,0,14125,6.99,0.31,0,4,0.0005777777777777778
26,28000,2,3.0,3,1,4000,11.14,0.14,0,3,0.0009285714285714286
21,72000,3,2.0,3,1,5000,11.86,0.07,0,3,0.0002916666666666667
25,60000,3,9.0,1,1,15000,11.71,0.25,0,3,0.0004166666666666667
24,80000,3,1.0,2,0,9000,8.59,0.11,0,2,0.0003
22,75000,0,6.0,4,0,7000,7.51,0.09,0,2,0.0002933333333333333
22,40000,2,4.0,5,2,8000,14.35,0.2,1,4,0.00055
22,100000,0,2.0,3,1,15000,10.62,0.15,0,3,0.00022
22,90000,0,6.0,4,0,6000,7.74,0.07,0,3,0.00024444444444444443
28,153000,0,1.0,0,1,23100,11.48,0.15,0,9,0.00018300653594771241
28,40000,0,2.0,4,0,9000,9.63,0.23,0,8,0.0007
37,60000,0,2.0,1,0,7000,8.49,0.12,0,13,0.0006166666666666666
25,35000,3,9.0,3,0,3000,8.94,0.09,0,3,0.0007142857142857143
23,70000,3,1.0,5,1,10000,12.69,0.14,0,2,0.00032857142857142856
24,72000,0,7.0,4,0,6000,5.42,0.08,0,2,0.0003333333333333333
22,60000,3,3.0,1,3,2500,14.59,0.04,1,2,0.00036666666666666667
36,43000,3,2.0,3,2,1200,14.26,0.03,0,11,0.0008372093023255813
28,50000,3,4.0,0,2,8500,14.79,0.17,1,5,0.00056
31,101000,0,3.0,2,1,20000,9.88,0.2,0,6,0.00030693069306930693
23,72000,0,7.0,5,1,24000,11.83,0.33,0,4,0.00031944444444444446
25,29640,3,2.0,3,3,5000,14.96,0.17,1,4,0.0008434547908232119
24,48000,3,0.0,5,1,3500,11.86,0.07,0,3,0.0005
31,100000,2,6.0,2,5,16000,16.77,0.16,1,6,0.00031
22,70000,0,6.0,5,2,6000,14.72,0.09,1,2,0.00031428571428571427
22,55000,2,2.0,3,2,10000,15.23,0.18,1,3,0.0004
32,44000,0,0.0,2,2,5000,13.11,0.11,1,5,0.0007272727272727272
22,41124,3,6.0,1,0,6000,7.51,0.15,0,2,0.0005349674156210486
25,100000,0,5.0,0,1,7000,10.25,0.07,0,2,0.00025
29,45000,3,2.0,5,1,5000,10.65,0.11,0,7,0.0006444444444444444
28,50000,3,1.0,2,2,3000,12.61,0.06,1,6,0.00056
28,50000,0,2.0,4,1,3500,10.99,0.07,0,9,0.00056
21,28800,3,2.0,0,3,2800,16.77,0.1,1,3,0.0007291666666666667
23,63000,0,7.0,0,4,25000,13.75,0.4,0,2,0.0003650793650793651
23,42000,3,7.0,3,1,6000,11.49,0.14,0,2,0.0005476190476190477
23,60000,3,0.0,5,1,13000,10.65,0.22,0,2,0.00038333333333333334
29,90000,0,14.0,4,1,15000,11.11,0.17,0,8,0.0003222222222222222
26,90000,0,0.0,2,1,25000,11.36,0.28,0,4,0.0002888888888888889
23,57600,3,7.0,4,3,12000,18.25,0.2,1,3,0.0003993055555555556
32,50000,3,0.0,3,0,3000,6.03,0.06,0,7,0.00064
23,48000,0,6.0,1,0,7000,6.62,0.15,0,3,0.00047916666666666664
47,32000,0,15.0,2,0,8000,6.03,0.25,0,11,0.00146875
40,27600,2,16.0,5,2,3000,14.27,0.11,0,17,0.0014492753623188406
34,60000,0,12.0,3,0,1200,6.62,0.02,0,7,0.0005666666666666667
37,36000,3,3.0,3,3,10000,14.61,0.28,0,15,0.0010277777777777778
23,44160,1,7.0,1,0,10000,8.0,0.23,0,3,0.0005208333333333333
24,45000,2,8.0,1,1,10000,11.11,0.22,0,4,0.0005333333333333334
23,85000,0,7.0,1,1,20000,12.21,0.24,0,2,0.0002705882352941176
26,65000,3,1.0,2,0,12000,7.14,0.18,0,4,0.0004
24,60000,3,5.0,4,1,6000,10.75,0.1,0,4,0.0004
32,34000,3,16.0,0,3,5000,14.61,0.15,0,5,0.0009411764705882353
27,80000,3,3.0,1,1,16000,9.99,0.2,0,7,0.0003375
26,82650,3,6.0,2,1,10200,9.99,0.12,0,4,0.00031457955232909863
22,30000,3,7.0,1,0,3000,7.14,0.1,0,2,0.0007333333333333333
26,38000,0,5.0,3,1,3500,10.99,0.09,0,4,0.0006842105263157894
30,78200,3,1.0,1,2,7000,13.57,0.09,1,9,0.00038363171355498723
36,30000,2,4.0,5,0,5000,7.88,0.17,0,17,0.0012
23,12000,3,0.0,0,3,2400,14.59,0.2,0,3,0.0019166666666666666
27,31000,0,2.0,5,0,4000,6.76,0.13,0,5,0.0008709677419354839
31,70000,3,7.0,5,0,10000,7.66,0.14,0,6,0.00044285714285714284
22,30000,3,3.0,0,2,10000,13.98,0.33,1,4,0.0007333333333333333
38,60000,0,8.0,2,1,21000,11.71,0.35,0,14,0.0006333333333333333
21,45000,0,5.0,1,0,5000,6.76,0.11,0,3,0.00046666666666666666
23,42000,3,0.0,5,0,3500,7.68,0.08,0,3,0.0005476190476190477
26,64800,0,5.0,0,1,2500,11.99,0.04,0,4,0.00040123456790123454
23,50000,0,5.0,4,0,8000,6.62,0.16,0,3,0.00046
26,29000,3,2.0,3,1,10000,12.69,0.34,0,2,0.000896551724137931
27,58000,0,4.0,0,3,25000,14.09,0.43,1,9,0.00046551724137931035
34,75000,3,6.0,2,0,10000,6.03,0.13,0,10,0.0004533333333333333
25,22800,3,3.0,3,1,2000,11.36,0.09,0,3,0.0010964912280701754
36,95000,0,0.0,4,2,12000,15.23,0.13,1,15,0.00037894736842105265
32,180000,0,2.0,0,1,20000,10.37,0.11,0,6,0.00017777777777777779
33,65000,0,17.0,5,0,5000,7.51,0.08,0,9,0.0005076923076923077
32,71000,0,4.0,1,0,8000,7.49,0.11,0,10,0.0004507042253521127
22,30000,3,3.0,1,1,6000,10.25,0.2,0,2,0.0007333333333333333
29,40000,0,9.0,3,2,1750,14.72,0.04,0,8,0.000725
23,65000,3,4.0,3,1,6000,11.49,0.09,0,2,0.00035384615384615386
28,52000,3,3.0,4,2,11000,12.61,0.22,0,10,0.0005384615384615384
27,40000,3,0.0,3,1,3000,11.83,0.07,0,8,0.000675
27,125000,0,11.0,0,0,8000,9.63,0.06,0,10,0.000216
25,80000,0,8.0,5,1,12000,11.49,0.15,0,3,0.0003125
23,30000,0,2.0,4,1,6000,10.99,0.2,0,3,0.0007666666666666667
26,41600,3,3.0,3,0,6000,6.03,0.15,0,2,0.000625
27,60000,0,6.0,0,0,9800,7.88,0.16,0,5,0.00045
35,45000,3,2.0,0,2,1800,12.61,0.04,1,8,0.0007777777777777777
28,110000,3,2.0,5,1,15000,10.0,0.14,0,6,0.00025454545454545456
26,50000,0,3.0,4,0,3000,6.62,0.06,0,4,0.00052
35,75000,3,6.0,2,0,9000,6.17,0.12,0,5,0.00046666666666666666
44,89000,2,6.0,5,0,14200,8.49,0.16,0,11,0.0004943820224719101
22,70000,0,1.0,1,2,8000,13.22,0.11,0,4,0.00031428571428571427
25,59000,0,5.0,5,0,4000,6.76,0.07,0,4,0.000423728813559322
39,91200,0,1.0,4,0,6000,7.68,0.06,0,16,0.00042763157894736844
32,80000,0,4.0,5,2,10000,14.65,0.13,1,8,0.0004
37,171870,3,0.0,3,1,15000,10.59,0.09,0,14,0.00021527898993425263
23,55000,3,4.0,4,0,5000,8.9,0.09,0,2,0.0004181818181818182
35,160000,0,9.0,1,0,24000,7.9,0.15,0,5,0.00021875
21,38000,3,5.0,3,2,7000,13.49,0.18,0,4,0.0005526315789473684
29,50000,3,2.0,5,0,3000,7.88,0.06,0,7,0.00058
36,74360,0,0.0,1,2,3000,14.35,0.04,0,13,0.0004841312533620226
24,69996,2,1.0,5,1,10000,9.99,0.14,0,4,0.0003428767358134751
23,85000,0,1.0,5,0,8000,6.92,0.09,0,4,0.0002705882352941176
34,70000,0,7.0,4,0,10000,6.99,0.14,0,5,0.0004857142857142857
40,67000,3,13.0,0,1,10000,10.74,0.15,0,14,0.0005970149253731343
24,120000,3,4.0,2,1,15000,11.48,0.13,0,3,0.0002
24,78000,3,4.0,2,4,5000,16.35,0.06,0,4,0.0003076923076923077
23,55000,3,2.0,0,1,6000,10.99,0.11,0,2,0.0004181818181818182
38,47000,0,4.0,4,2,7000,13.99,0.15,0,16,0.0008085106382978724
23,70000,0,3.0,0,0,5000,7.9,0.07,0,2,0.00032857142857142856
24,72000,3,0.0,0,2,7000,12.99,0.1,0,4,0.0003333333333333333
35,38000,3,21.0,3,2,10000,14.27,0.26,1,9,0.0009210526315789473
23,65000,3,3.0,5,3,8000,14.96,0.12,1,4,0.00035384615384615386
22,60000,3,6.0,5,0,10000,7.66,0.17,0,3,0.00036666666666666667
25,57240,3,4.0,5,3,5000,16.0,0.09,1,3,0.00043675751222921035
29,74400,0,8.0,1,2,9500,14.65,0.12,0,10,0.00038978494623655917
29,36000,3,2.0,0,1,7000,10.75,0.19,0,6,0.0008055555555555556
43,65000,0,3.0,5,0,10000,7.49,0.15,0,14,0.0006615384615384616
22,50000,0,7.0,4,0,2600,7.66,0.05,0,4,0.00044
22,35496,3,5.0,5,3,3200,14.54,0.09,1,3,0.0006197881451431147
22,75000,0,6.0,5,0,5000,6.99,0.07,0,4,0.0002933333333333333
23,36000,3,3.0,5,0,4500,6.62,0.13,0,4,0.0006388888888888889
25,70000,0,9.0,4,0,6000,7.74,0.09,0,4,0.00035714285714285714
23,62500,0,7.0,3,1,15000,10.99,0.24,0,2,0.000368
25,59000,3,7.0,3,2,3600,14.17,0.06,0,4,0.000423728813559322
32,54000,3,2.0,0,0,4000,7.29,0.07,0,5,0.0005925925925925926
29,55000,3,3.0,0,1,6000,10.74,0.11,0,10,0.0005272727272727272
29,62000,0,13.0,0,2,13000,12.98,0.21,1,10,0.00046774193548387096
24,40000,3,1.0,0,0,3500,7.14,0.09,0,2,0.0006
25,80000,0,4.0,4,1,15000,12.42,0.19,0,3,0.0003125
30,250000,0,8.0,2,2,15000,15.96,0.06,0,2,0.00012
24,58000,3,4.0,0,3,25000,14.59,0.43,0,4,0.00041379310344827585
23,40000,3,7.0,3,1,3600,10.99,0.09,0,3,0.000575
22,70000,3,4.0,1,0,6000,7.29,0.09,0,3,0.00031428571428571427
23,150000,0,1.0,5,1,20000,11.58,0.13,0,4,0.00015333333333333334
54,37000,0,2.0,4,1,4500,11.71,0.12,0,19,0.0014594594594594594
27,64000,0,11.0,5,3,9000,14.09,0.14,1,9,0.000421875
32,42000,3,0.0,4,1,5000,10.08,0.12,0,9,0.0007619047619047619
24,100000,0,8.0,3,0,8000,7.88,0.08,0,2,0.00024
29,44991,0,2.0,3,1,7800,9.88,0.16,0,7,0.0006445733591162677
23,75000,3,2.0,5,0,7500,9.32,0.1,0,4,0.0003066666666666667
37,40000,3,2.0,1,1,14000,11.71,0.35,0,11,0.000925
28,45000,3,12.0,4,0,13000,6.99,0.29,0,5,0.0006222222222222223
23,120000,0,7.0,1,0,7200,6.03,0.06,0,3,0.00019166666666666667
27,39000,3,0.0,0,1,13000,10.74,0.33,0,7,0.0006923076923076923
25,45000,3,0.0,3,3,17500,15.33,0.39,0,4,0.0005555555555555556
21,65004,2,5.0,1,2,5000,13.49,0.08,0,2,0.0003230570426435296
22,44000,0,6.0,4,1,5000,12.53,0.11,0,3,0.0005
22,80000,0,6.0,1,1,15000,10.95,0.19,0,2,0.000275
24,40000,3,4.0,0,1,4000,11.12,0.1,0,4,0.0006
31,55000,0,2.0,0,2,2500,13.49,0.05,0,6,0.0005636363636363636
29,69000,3,1.0,2,1,15000,10.62,0.22,0,6,0.00042028985507246375
27,35000,3,5.0,3,0,10000,8.59,0.29,0,6,0.0007714285714285715
30,36000,3,9.0,4,2,8000,13.06,0.22,0,5,0.0008333333333333334
24,45400,3,7.0,0,0,5000,7.51,0.11,0,2,0.0005286343612334801
23,40000,2,6.0,3,0,15000,6.03,0.38,0,3,0.000575
25,120000,3,9.0,1,1,12000,11.71,0.1,0,3,0.00020833333333333335
31,69000,3,1.0,2,4,20000,17.74,0.28,0,6,0.0004492753623188406
21,60000,0,5.0,1,0,8000,7.88,0.13,0,3,0.00035
30,130000,3,5.0,5,1,10000,11.11,0.08,0,7,0.00023076923076923076
28,50000,3,2.0,4,1,3500,11.86,0.07,0,7,0.00056
22,70000,0,6.0,3,0,3000,7.51,0.04,0,4,0.00031428571428571427
24,44000,3,0.0,5,4,6000,17.04,0.14,0,3,0.0005454545454545455
33,55000,2,2.0,5,2,6800,12.53,0.12,1,8,0.0006
24,65000,3,6.0,1,0,6400,6.62,0.1,0,4,0.0003692307692307692
22,45000,0,5.0,5,1,7000,10.37,0.16,0,2,0.0004888888888888889
22,60000,3,1.0,0,2,6000,13.98,0.1,0,4,0.00036666666666666667
22,36000,3,2.0,4,3,10000,16.07,0.28,0,3,0.0006111111111111111
24,51000,2,8.0,1,1,1000,10.37,0.02,0,2,0.00047058823529411766
38,82000,3,8.0,1,2,6000,11.97,0.07,0,16,0.00046341463414634144
26,55000,3,0.0,5,1,3000,10.2,0.05,0,4,0.0004727272727272727
42,65000,3,16.0,0,2,15000,13.47,0.23,1,13,0.0006461538461538461
25,33000,0,3.0,4,1,3000,10.65,0.09,0,4,0.0007575757575757576
29,92341,3,9.0,4,0,12000,8.94,0.13,0,8,0.0003140533457510748
29,69000,3,11.0,2,0,4500,7.88,0.07,0,5,0.00042028985507246375
28,65000,2,7.0,3,0,13600,6.62,0.21,0,9,0.0004307692307692308
35,95000,0,9.0,5,1,17000,9.88,0.18,0,6,0.00036842105263157896
29,63000,3,6.0,3,1,12000,11.71,0.19,0,5,0.00046031746031746033
23,48000,0,7.0,1,0,8000,7.14,0.17,0,4,0.00047916666666666664
27,45468,3,2.0,5,2,4000,13.99,0.09,1,10,0.0005938242280285036
23,120000,0,1.0,0,1,6000,11.49,0.05,0,4,0.00019166666666666667
22,104736,0,6.0,0,2,25000,14.27,0.24,1,3,0.00021005194011610145
23,60000,0,5.0,4,1,2000,8.7,0.03,0,4,0.00038333333333333334
30,35000,2,2.0,5,1,10000,10.99,0.29,0,10,0.0008571428571428571
22,100000,0,1.0,1,2,12000,13.22,0.12,1,3,0.00022
29,35000,3,2.0,4,0,6000,7.88,0.17,0,9,0.0008285714285714286
41,60000,3,0.0,4,2,15000,13.49,0.25,0,12,0.0006833333333333333
21,24000,3,5.0,1,1,1000,11.49,0.04,0,2,0.000875
23,18000,3,1.0,3,1,7000,11.99,0.39,0,2,0.0012777777777777779
32,50000,3,2.0,0,0,5500,8.49,0.11,0,5,0.00064
25,60000,3,1.0,1,0,9000,7.88,0.15,0,4,0.0004166666666666667
22,52000,3,2.0,1,2,6000,12.99,0.12,1,4,0.0004230769230769231
25,40000,0,9.0,4,0,9000,8.94,0.22,0,3,0.000625
22,90000,0,6.0,1,2,12000,13.49,0.13,1,3,0.00024444444444444443
23,75000,3,3.0,5,3,12000,14.61,0.16,0,2,0.0003066666666666667
22,50000,3,6.0,0,1,6000,11.71,0.12,0,3,0.00044
22,79000,0,3.0,1,1,10000,11.11,0.13,0,3,0.00027848101265822784
28,40000,3,3.0,4,2,5000,12.73,0.13,1,9,0.0007
22,60000,0,5.0,1,2,16000,13.49,0.27,1,4,0.00036666666666666667
28,100000,0,12.0,0,2,15000,13.85,0.15,1,10,0.00028
27,52000,3,11.0,1,0,10000,6.92,0.19,0,5,0.0005192307692307692
24,42000,3,2.0,5,1,4000,10.99,0.1,0,3,0.0005714285714285715
30,77000,0,14.0,4,0,10000,7.51,0.13,0,8,0.0003896103896103896
22,47800,0,0.0,1,1,1500,11.48,0.03,0,3,0.0004602510460251046
26,45000,3,1.0,5,2,5000,14.26,0.11,0,2,0.0005777777777777778
23,55000,0,7.0,4,1,5000,12.42,0.09,0,3,0.0004181818181818182
28,65000,0,5.0,4,0,18000,6.03,0.29,0,7,0.0004307692307692308
28,44304,3,2.0,1,1,1800,9.25,0.04,0,7,0.0006319971108703503
26,30000,3,1.0,3,2,10000,13.22,0.33,0,4,0.0008666666666666666
27,29004,3,1.0,1,0,6000,8.0,0.21,0,8,0.0009309060819197352
24,68000,3,2.0,5,1,6500,9.99,0.1,0,2,0.00035294117647058826
23,83600,3,7.0,4,0,15000,8.49,0.19,0,3,0.00027511961722488036
23,80000,0,5.0,1,0,6400,5.99,0.08,0,4,0.0002875
22,44000,3,1.0,1,1,16000,12.18,0.36,0,4,0.0005
24,77500,3,3.0,4,1,15000,10.99,0.2,0,3,0.00030967741935483873
30,120000,0,14.0,4,0,6000,6.17,0.05,0,6,0.00025
25,52000,3,0.0,0,0,4200,9.32,0.08,0,3,0.0004807692307692308
24,40000,3,2.0,1,2,3500,13.35,0.09,1,3,0.0006
28,58650,0,1.0,2,2,15400,10.28,0.22,0,6,0.0004774083546462063
36,142000,0,4.0,5,1,5000,10.99,0.04,0,14,0.0002535211267605634
24,77000,0,8.0,0,1,15000,10.25,0.19,0,3,0.0003116883116883117
27,30000,3,3.0,2,1,8000,10.99,0.27,0,7,0.0009
37,48000,3,0.0,5,1,3500,11.11,0.07,0,12,0.0007708333333333333
29,116000,0,4.0,2,2,5000,13.49,0.04,1,10,0.00025
22,69000,3,6.0,1,0,10000,6.62,0.14,0,4,0.00031884057971014494
24,85000,2,4.0,1,2,9600,13.35,0.11,1,2,0.00028235294117647056
23,75000,3,0.0,4,0,8000,9.63,0.11,0,2,0.0003066666666666667
24,85000,0,8.0,1,1,5000,10.99,0.06,0,3,0.00028235294117647056
23,30000,3,2.0,1,0,5000,6.91,0.17,0,3,0.0007666666666666667
43,36000,3,2.0,5,0,9000,5.99,0.25,0,11,0.0011944444444444444
24,95000,3,1.0,4,1,12000,10.99,0.13,0,3,0.0002526315789473684
27,36000,3,4.0,3,1,5000,10.37,0.14,0,5,0.00075
26,75600,0,3.0,4,0,10000,5.79,0.13,0,4,0.00034391534391534393
27,39000,3,0.0,3,2,5000,14.22,0.13,0,9,0.0006923076923076923
27,70000,3,2.0,1,0,14100,7.49,0.22,0,7,0.0003857142857142857
24,38400,0,4.0,5,1,4000,11.99,0.11,0,4,0.000625
22,50000,3,6.0,1,2,9200,13.11,0.18,0,4,0.00044
38,60000,2,2.0,3,1,10000,12.53,0.17,0,16,0.0006333333333333333
46,28800,3,0.0,0,0,5000,6.54,0.17,0,11,0.0015972222222222223
41,90000,0,20.0,5,0,6000,5.99,0.07,0,17,0.00045555555555555556
23,42500,3,0.0,4,0,5000,5.42,0.12,0,4,0.0005411764705882352
23,37500,3,0.0,4,1,12000,10.37,0.32,0,3,0.0006133333333333334
27,160000,0,3.0,3,1,35000,9.99,0.22,0,10,0.00016875
33,68551,0,13.0,2,1,6000,10.95,0.09,0,9,0.0004813934151215883
31,50000,3,0.0,2,1,3000,10.25,0.06,0,7,0.00062
29,75000,0,6.0,2,1,24000,11.49,0.32,0,8,0.00038666666666666667
24,46000,3,5.0,5,0,12000,7.9,0.26,0,3,0.0005217391304347826
27,60000,3,9.0,0,0,10000,7.14,0.17,0,5,0.00045
24,44000,3,2.0,4,3,8000,14.84,0.18,0,2,0.0005454545454545455
22,48000,3,4.0,3,0,2650,6.17,0.05,0,3,0.0004583333333333333
30,44760,3,1.0,3,1,7500,10.71,0.17,0,7,0.0006702412868632708
22,75000,0,6.0,1,0,3000,7.51,0.04,0,3,0.0002933333333333333
28,43000,3,12.0,0,1,16000,8.88,0.37,0,9,0.0006511627906976744
40,60000,0,5.0,4,0,2500,7.49,0.04,0,11,0.0006666666666666666
23,80000,3,5.0,0,0,10000,6.92,0.13,0,3,0.0002875
25,25344,3,5.0,5,3,4000,16.49,0.16,0,2,0.0009864267676767677
26,60000,2,7.0,1,3,20000,15.31,0.33,1,4,0.0004333333333333333
33,81600,0,7.0,3,0,14000,5.42,0.18,0,6,0.00040441176470588236
29,65000,3,3.0,0,1,7000,9.99,0.11,0,10,0.0004461538461538462
33,50000,0,0.0,3,2,4000,14.35,0.08,0,7,0.00066
22,37600,3,6.0,1,0,15000,6.03,0.4,0,3,0.0005851063829787234
23,52000,3,4.0,1,1,5400,10.74,0.11,0,3,0.0004423076923076923
25,31200,3,2.0,0,1,15000,10.71,0.48,0,3,0.0008012820512820513
25,65000,3,4.0,2,0,7000,7.49,0.11,0,4,0.0003846153846153846
24,36000,0,8.0,3,2,4800,12.61,0.13,1,2,0.0006666666666666666
31,60000,0,11.0,4,0,16000,7.49,0.26,0,6,0.0005166666666666667
