,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_by_income
30184,3,0.0,3,10000,13.55,0.28,0,10,0.0007777777777777777
21355,3,5.0,3,2000,11.71,0.03,0,4,0.0004333333333333333
37527,0,3.0,4,17000,10.37,0.28,0,3,0.0004166666666666667
50618,3,3.0,4,7500,13.24,0.25,1,5,0.0011333333333333334
38725,0,4.0,1,19000,13.61,0.35,1,5,0.0005312717546623677
6939,3,1.0,3,2200,8.94,0.06,0,2,0.000576923076923077
13763,0,21.0,2,4000,9.88,0.09,0,15,0.0008222222222222222
45558,3,2.0,1,12000,13.85,0.17,0,2,0.00031593406593406596
31428,0,4.0,5,2800,6.39,0.06,0,9,0.00056
2238,3,4.0,4,6400,17.49,0.19,1,5,0.0010294117647058824
24922,0,2.0,2,25000,11.78,0.3,1,2,0.00029761904761904765
56474,0,13.0,0,1000,17.49,0.03,1,6,0.0009666666666666667
20026,0,6.0,1,5000,7.74,0.08,0,4,0.0003492063492063492
34497,0,6.0,5,15000,10.62,0.2,0,2,0.0002933333333333333
55731,3,2.0,5,13500,9.38,0.18,0,10,0.0004134215299263843
8819,0,1.0,4,7200,9.63,0.08,0,2,0.00023156919708643847
26006,0,5.0,0,1500,6.03,0.03,0,7,0.0005666666666666667
22456,3,6.0,4,12000,11.49,0.3,0,3,0.0005764411027568922
58279,0,4.0,1,20000,11.48,0.33,0,17,0.00065
10175,3,0.0,3,15000,13.06,0.25,0,9,0.00055
6927,3,0.0,2,10000,15.31,0.11,1,3,0.00026136363636363634
2570,0,14.0,4,11225,15.33,0.17,1,7,0.0005
14846,0,3.0,4,8000,10.36,0.09,0,2,0.00028735632183908046
28129,0,4.0,3,5000,8.9,0.04,0,4,0.00020833333333333335
57519,0,3.0,0,12000,7.51,0.14,0,6,0.0003214285714285714
5498,3,7.0,5,24000,7.9,0.18,0,3,0.00017404464623533864
11168,3,1.0,1,10000,16.4,0.26,0,2,0.0006666666666666666
10856,3,15.0,5,1000,9.99,0.02,0,6,0.0005636363636363636
21364,0,15.0,2,10000,5.42,0.08,0,9,0.00025833333333333334
35067,3,2.0,3,6000,13.23,0.15,0,10,0.000775
49521,3,9.0,1,1500,13.16,0.04,1,3,0.0007428571428571429
16770,0,5.0,4,10000,7.49,0.24,0,16,0.0011666666666666668
22169,2,10.0,3,5000,6.92,0.05,0,8,0.0003177570093457944
40044,3,7.0,2,25000,9.99,0.32,0,5,0.0003717948717948718
36077,0,3.0,2,4800,7.4,0.04,0,6,0.00024166666666666667
57701,3,0.0,4,6000,6.17,0.13,0,3,0.0005106382978723404
48623,3,3.0,3,12000,7.88,0.26,0,9,0.0006170212765957447
25446,0,3.0,2,12000,10.37,0.14,0,13,0.0004588235294117647
23814,0,8.0,4,9500,11.71,0.15,0,2,0.0003864734299516908
17493,0,11.0,2,6000,13.92,0.07,0,6,0.0002934782608695652
31356,0,14.0,4,12000,7.9,0.13,0,10,0.0003333333333333333
41663,0,5.0,4,12000,5.42,0.21,0,2,0.000375
1593,3,0.0,0,7000,7.9,0.13,0,2,0.0004727272727272727
39697,0,2.0,2,2000,10.59,0.03,0,9,0.00046666666666666666
186,3,3.0,1,8700,13.11,0.18,1,2,0.0005054500703234881
46805,3,0.0,2,15000,14.59,0.22,1,10,0.0004492753623188406
50843,3,2.0,3,9000,9.88,0.14,0,4,0.0004
20116,3,1.0,1,8000,7.66,0.11,0,4,0.0003333333333333333
16682,0,3.0,1,9400,6.91,0.3,0,4,0.0007371794871794872
32589,0,13.0,3,20000,11.11,0.25,0,10,0.0003625
2036,3,0.0,1,5000,8.0,0.07,0,4,0.0003333333333333333
21499,3,2.0,0,7275,6.91,0.08,0,3,0.00024210526315789473
10892,3,2.0,0,10000,13.48,0.1,1,3,0.00025
56814,3,4.0,0,6000,10.25,0.12,0,10,0.00066
44452,3,8.0,1,25000,14.84,0.19,0,2,0.00017692307692307693
20935,3,9.0,3,9500,14.84,0.2,1,10,0.0007446808510638298
19415,3,2.0,1,7200,7.4,0.08,0,3,0.0002588235294117647
42633,0,3.0,5,10000,15.23,0.21,1,3,0.0005208333333333333
42115,3,2.0,4,4500,15.23,0.15,1,2,0.0006862745098039216
19853,0,4.0,2,4200,7.49,0.14,0,14,0.0014
23010,3,4.0,3,10000,6.99,0.14,0,3,0.00031428571428571427
17741,0,1.0,3,2500,7.74,0.02,0,6,0.0002678667095253402
25126,3,4.0,3,4000,9.63,0.1,0,4,0.000575
33138,2,1.0,2,5000,11.36,0.13,0,7,0.0007466666666666666
29612,3,0.0,4,6000,10.59,0.29,0,9,0.0014
53924,3,4.0,0,12000,11.12,0.2,0,7,0.00045901639344262296
25487,0,5.0,5,20000,6.91,0.14,0,15,0.00025714285714285715
8587,3,3.0,5,10000,14.65,0.25,1,7,0.000675
38017,3,2.0,3,10000,7.88,0.19,0,4,0.0004150943396226415
27624,3,4.0,0,3000,13.49,0.1,1,2,0.0007333333333333333
29915,2,0.0,0,6000,15.7,0.16,1,15,0.0011021505376344087
53974,0,0.0,2,13500,7.51,0.14,0,5,0.00037270893624484784
22994,0,17.0,5,26000,9.91,0.43,0,6,0.0005333333333333334
36932,0,10.0,3,18000,11.36,0.19,0,4,0.0002698803184587758
56570,3,14.0,0,10000,11.36,0.14,0,9,0.00044285714285714284
16489,0,0.0,3,15000,7.88,0.1,0,5,0.00020666666666666666
6070,3,3.0,3,6000,12.53,0.08,0,10,0.0004583333333333333
36138,0,7.0,3,15000,11.71,0.13,0,15,0.000325
14230,2,1.0,2,1600,12.53,0.1,0,4,0.0013671875
24153,0,6.0,1,6000,12.69,0.07,0,4,0.0002391304347826087
17823,0,7.0,3,7500,10.99,0.25,0,8,0.0009333333333333333
12242,0,7.0,3,8000,13.22,0.11,0,4,0.00031944444444444446
34421,3,4.0,0,10000,10.75,0.18,0,8,0.0004909090909090909
25969,3,5.0,4,7200,11.99,0.21,0,3,0.0006
39416,0,6.0,5,10000,7.51,0.1,0,4,0.0002208835341365462
48674,3,16.0,3,10000,5.99,0.22,0,16,0.0007751437245655965
43117,3,6.0,5,15000,6.17,0.25,0,2,0.00036666666666666667
7155,3,5.0,1,7250,8.49,0.18,0,4,0.0005534591194968553
732,3,4.0,5,10000,7.49,0.25,0,3,0.0006
27702,3,0.0,5,4000,5.42,0.1,0,3,0.000575
50484,3,0.0,1,35000,7.51,0.34,0,8,0.00030097087378640777
24582,2,2.0,4,6000,8.59,0.2,0,3,0.0008
58569,0,5.0,3,10000,13.49,0.19,1,13,0.0006666666666666666
18877,2,2.0,3,5600,11.86,0.09,0,2,0.00036666666666666667
34318,3,2.0,5,10000,10.37,0.24,0,15,0.0009285714285714286
38233,0,6.0,5,19550,15.62,0.17,1,4,0.00017796610169491526
46485,0,7.0,1,12000,9.99,0.2,0,2,0.0004166666666666667
23750,2,7.0,1,24250,11.83,0.17,0,3,0.00016428571428571428
30948,3,3.0,5,12000,9.91,0.13,0,2,0.0002708333333333333
52130,0,5.0,4,6000,7.51,0.05,0,3,0.0002090909090909091
27836,3,0.0,1,8000,13.16,0.11,0,4,0.00031428571428571427
54008,3,2.0,2,12000,10.36,0.07,0,12,0.0002466666666666667
34573,3,0.0,3,3600,5.79,0.04,0,14,0.000525
49093,3,2.0,5,2400,13.72,0.11,1,3,0.001065891472868217
34905,0,4.0,3,5000,10.99,0.07,0,9,0.00036
30693,3,4.0,4,15000,7.29,0.32,0,3,0.0005319148936170213
51269,3,6.0,1,28000,10.65,0.31,0,14,0.00047058823529411766
44998,3,5.0,5,10000,9.45,0.09,0,3,0.00023636363636363636
45617,2,13.0,4,16000,15.7,0.3,1,10,0.0006296296296296296
56522,3,5.0,0,10000,10.37,0.2,0,8,0.00054
9113,0,7.0,5,4000,12.69,0.04,0,2,0.0002555555555555556
7094,0,8.0,4,3000,8.9,0.06,0,2,0.00048
39867,0,1.0,4,24150,11.48,0.14,0,3,0.00014285714285714287
52723,3,5.0,2,10000,12.18,0.18,0,5,0.0006181818181818182
40681,0,14.0,3,2000,6.99,0.03,0,9,0.00046153846153846153
37652,3,4.0,3,14500,15.58,0.47,0,4,0.0007352941176470588
975,0,3.0,4,13000,8.38,0.1,0,5,0.00024
56097,0,3.0,1,12000,7.9,0.16,0,2,0.00034422952165336085
16747,3,3.0,1,12700,14.59,0.17,0,4,0.00031428571428571427
7780,3,5.0,1,7500,17.49,0.18,0,4,0.0005952380952380953
17470,3,0.0,3,13000,11.71,0.17,0,10,0.00034615384615384613
38600,2,4.0,4,6250,14.91,0.22,0,2,0.0008097165991902834
12650,0,3.0,2,9000,13.48,0.19,0,6,0.0006209850107066382
48230,0,12.0,0,12000,14.59,0.12,1,8,0.0002828282828282828
56367,3,4.0,3,17500,8.9,0.33,0,2,0.0004339622641509434
27182,2,1.0,1,2400,7.66,0.05,0,2,0.0005
47533,3,5.0,1,14000,13.49,0.23,0,4,0.00038333333333333334
35178,0,3.0,5,17000,13.85,0.15,1,3,0.0002173913043478261
19391,0,13.0,3,25000,13.49,0.33,0,10,0.00042666666666666667
12680,3,7.0,0,6500,10.99,0.12,0,9,0.0006181818181818182
21530,0,6.0,3,15000,12.87,0.15,0,9,0.00028
7812,3,1.0,5,25000,17.04,0.19,0,11,0.00027692307692307695
46149,3,3.0,3,4000,12.61,0.07,1,2,0.0004411764705882353
22379,0,11.0,5,10000,7.49,0.15,0,6,0.0004461538461538462
19110,3,2.0,2,8000,13.16,0.17,1,5,0.0005833333333333334
48244,0,6.0,4,4000,6.99,0.09,0,14,0.0008444444444444444
23478,0,11.0,5,5000,8.49,0.05,0,15,0.0004387576017305416
4349,3,0.0,3,8000,8.0,0.13,0,4,0.0004166666666666667
16594,0,6.0,1,7200,7.51,0.18,0,7,0.0008358662613981763
16367,0,11.0,0,6000,5.42,0.03,0,7,0.0001222626745639298
10534,3,3.0,2,7000,10.99,0.08,0,2,0.00030588235294117644
52660,3,2.0,1,4000,5.99,0.13,0,3,0.0007
35554,0,5.0,1,25000,15.62,0.26,1,9,0.00028419856006062905
33808,0,2.0,5,4125,6.99,0.07,0,5,0.0005
7995,3,4.0,2,12000,13.57,0.2,1,6,0.00048333333333333334
1959,3,0.0,3,3500,5.42,0.11,0,3,0.0008333333333333334
13570,3,0.0,4,20000,14.74,0.28,1,3,0.00031944444444444446
50872,3,0.0,1,12800,8.9,0.33,0,3,0.0005454545454545455
11766,0,7.0,5,3500,6.62,0.06,0,4,0.0004814814814814815
43847,0,7.0,0,4800,7.51,0.08,0,3,0.00038333333333333334
19797,0,3.0,4,25000,14.11,0.21,0,9,0.00024166666666666667
12315,0,5.0,2,15000,8.9,0.24,0,3,0.0003846153846153846
20450,0,14.0,2,24000,13.72,0.15,0,7,0.00018125
23839,3,1.0,5,6500,7.29,0.09,0,2,0.0003333333333333333
23638,3,2.0,3,4000,11.86,0.08,0,8,0.00064
16384,3,0.0,5,5000,10.99,0.06,0,8,0.00037647058823529414
936,0,5.0,0,6000,5.42,0.11,0,2,0.00044444444444444447
34761,3,5.0,0,14500,15.33,0.45,1,3,0.0008012820512820513
6169,3,5.0,4,12000,12.84,0.4,0,7,0.0009
17815,3,7.0,1,6000,13.11,0.07,1,4,0.00030037546933667084
1506,3,6.0,3,15000,11.58,0.27,0,5,0.00048214285714285715
9626,0,3.0,5,16000,12.99,0.12,0,4,0.00016428571428571428
50274,3,1.0,5,3000,7.74,0.06,0,4,0.00046
55248,0,15.0,2,9500,6.17,0.16,0,12,0.0006166666666666666
10438,0,7.0,1,6000,10.65,0.03,0,3,0.000115
44671,3,4.0,5,19750,10.62,0.16,0,4,0.000184
42826,0,8.0,1,7800,10.99,0.14,0,3,0.00043636363636363637
34263,3,5.0,1,4200,6.92,0.14,0,5,0.0011
20429,0,0.0,5,16000,8.59,0.21,0,4,0.0003066666666666667
17590,0,2.0,2,4800,12.73,0.07,0,3,0.00035294117647058826
40087,0,12.0,0,15000,13.11,0.15,1,6,0.00028
3537,3,5.0,3,6500,13.79,0.19,1,4,0.0007027406886858749
17795,0,7.0,1,12000,7.51,0.2,0,2,0.0004
17938,3,0.0,3,25000,13.06,0.17,0,4,0.00017333333333333334
57666,3,3.0,0,5000,11.83,0.08,0,3,0.00036666666666666667
45719,3,1.0,5,2500,14.59,0.06,1,10,0.000675
13835,0,5.0,3,4500,7.49,0.04,0,10,0.00025217391304347824
14952,3,7.0,4,14575,14.84,0.33,0,4,0.0005000434820419167
8289,3,8.0,3,13650,10.25,0.3,0,14,0.0009833916083916085
34970,3,4.0,4,8000,7.49,0.17,0,9,0.000574468085106383
39804,0,9.0,3,7200,6.92,0.05,0,2,0.00016666666666666666
8045,3,3.0,3,6500,9.88,0.22,0,9,0.001
7618,3,3.0,1,12000,10.25,0.17,0,3,0.00037142857142857143
31991,0,7.0,1,3000,6.91,0.05,0,3,0.00038333333333333334
48009,3,13.0,3,12000,8.49,0.14,0,9,0.0003411764705882353
21522,0,6.0,5,3200,9.25,0.08,0,17,0.00095
46651,3,6.0,4,12000,11.71,0.2,0,3,0.00036666666666666667
94,3,4.0,4,9800,10.62,0.28,0,4,0.0006666666666666666
12852,0,12.0,1,4500,7.51,0.07,0,9,0.00046666666666666666
56940,3,8.0,0,12000,9.63,0.31,0,9,0.0007049608355091384
10743,0,3.0,2,5000,14.27,0.1,1,15,0.0008333333333333334
23177,0,4.0,3,15000,12.42,0.17,0,8,0.0003444444444444444
51214,3,2.0,2,19000,13.16,0.35,1,13,0.0006666666666666666
18550,0,0.0,1,6000,8.59,0.07,0,2,0.0002875
44049,0,1.0,0,6000,5.42,0.09,0,5,0.0004142857142857143
29261,0,8.0,2,5000,6.03,0.09,0,6,0.0005357142857142857
55680,3,2.0,0,6000,13.49,0.06,1,3,0.00022
30155,3,6.0,1,7200,12.84,0.24,1,4,0.0007
1981,3,6.0,1,11650,13.49,0.27,0,9,0.0007045454545454546
51955,0,8.0,5,4000,11.49,0.08,0,9,0.00056
9499,0,2.0,3,4000,7.74,0.04,0,7,0.00029985627578505477
9141,3,3.0,1,6200,15.62,0.14,1,4,0.0005227272727272727
9454,0,7.0,5,8500,6.03,0.15,0,4,0.0004181818181818182
20912,0,4.0,1,9600,6.03,0.11,0,3,0.0002705882352941176
46463,3,6.0,0,1000,7.88,0.03,0,4,0.0005789473684210527
9441,3,3.0,1,12000,13.49,0.2,0,4,0.00038333333333333334
12046,0,6.0,3,2400,5.99,0.02,0,3,0.00019469888048143723
56473,3,0.0,3,7500,13.49,0.21,0,9,0.0008707865168539326
31534,0,8.0,3,14400,13.49,0.12,0,2,0.00020833333333333335
24243,3,1.0,3,5000,17.93,0.17,1,2,0.0008333333333333334
23765,3,1.0,2,7000,12.29,0.25,1,4,0.0008928571428571428
18233,0,7.0,3,18000,10.0,0.27,0,2,0.0003382153990941709
43049,0,9.0,0,20000,10.25,0.18,0,4,0.00022727272727272727
4397,3,1.0,5,5000,15.99,0.15,0,13,0.0012727272727272728
6639,0,3.0,1,14000,16.07,0.17,1,4,0.000275
17757,3,7.0,5,7000,13.99,0.17,0,2,0.0005714285714285715
52238,3,5.0,3,5000,10.37,0.1,0,13,0.0007755735162054045
49344,3,5.0,3,9000,10.65,0.18,0,25,0.0012
3808,0,6.0,5,11400,7.49,0.23,0,2,0.00044
55114,3,0.0,5,12000,10.95,0.17,0,10,0.0004
22220,3,2.0,4,7000,10.74,0.11,0,4,0.0004032258064516129
39087,2,5.0,3,15000,10.62,0.33,0,11,0.0008
29219,0,7.0,1,6000,9.99,0.15,0,3,0.0006052631578947369
3539,3,4.0,1,8000,10.65,0.1,0,5,0.00035365853658536584
42800,0,6.0,2,5000,9.63,0.07,0,9,0.0004133333333333333
51023,3,0.0,1,13000,7.88,0.24,0,4,0.0004
46121,3,3.0,4,2500,11.71,0.04,0,8,0.00048484848484848484
37368,0,9.0,1,12000,7.88,0.14,0,2,0.0002941176470588235
7058,0,5.0,3,3600,7.66,0.07,0,3,0.0005496828752642706
33131,3,1.0,3,3200,9.32,0.08,0,3,0.000625
58393,0,2.0,3,15000,11.34,0.15,0,5,0.00026470588235294115
20053,3,2.0,2,5000,10.99,0.06,0,4,0.00028235294117647056
31199,3,3.0,2,8000,16.77,0.12,1,4,0.0003846153846153846
6573,0,9.0,0,3000,8.49,0.05,0,3,0.0004504426465237955
11707,3,1.0,0,14000,13.11,0.19,1,7,0.0003972602739726027
46597,0,4.0,4,5000,8.49,0.1,0,5,0.00058
10325,0,11.0,2,16000,7.49,0.14,0,5,0.00022580645161290321
33487,3,8.0,5,10000,15.96,0.21,0,3,0.0005531914893617022
2152,3,0.0,5,9600,17.27,0.28,1,3,0.000603448275862069
19844,3,4.0,4,14000,12.99,0.31,0,3,0.0005111111111111112
21907,3,13.0,4,4200,12.98,0.08,0,5,0.0005384615384615384
48444,3,3.0,1,4500,12.99,0.11,1,4,0.0005476190476190477
22763,3,3.0,4,5600,8.49,0.07,0,25,0.0006117647058823529
39845,3,0.0,0,12000,8.94,0.32,0,7,0.0008
46818,3,1.0,0,3000,12.99,0.08,0,5,0.0007237386269644334
29466,0,3.0,1,15000,11.99,0.15,0,4,0.00026
54664,3,0.0,3,4000,9.99,0.12,0,6,0.0008529411764705882
13963,0,5.0,5,14000,10.25,0.29,0,3,0.0004583333333333333
57102,3,1.0,4,4200,8.9,0.15,0,5,0.0010763888888888889
31496,0,2.0,3,5000,13.99,0.08,0,8,0.00048333333333333334
57655,3,8.0,3,7000,9.91,0.08,0,4,0.0002666666666666667
34027,0,7.0,4,10000,11.14,0.11,0,3,0.00026136363636363634
53314,3,5.0,5,6400,7.51,0.1,0,4,0.0003692307692307692
32129,3,3.0,0,1500,13.23,0.03,0,2,0.00047916666666666664
42291,0,14.0,2,6000,14.79,0.06,0,9,0.0002844036697247706
39160,3,2.0,4,3600,11.66,0.21,1,2,0.001346153846153846
54084,3,6.0,5,9000,6.62,0.13,0,3,0.00033731078972888646
13042,3,0.0,1,7800,7.14,0.22,0,10,0.00075
45650,0,1.0,0,35000,12.99,0.22,0,2,0.00014599096125526837
2161,2,2.0,5,20000,12.42,0.29,0,2,0.00032857142857142856
28645,2,7.0,1,2000,11.48,0.05,0,2,0.0005476190476190477
34921,0,9.0,5,12000,7.88,0.24,0,2,0.0005
48101,0,3.0,4,6200,7.14,0.12,0,3,0.00044
32645,3,0.0,0,5100,10.37,0.17,0,5,0.001
49704,3,3.0,5,10000,10.59,0.18,0,4,0.0004
4600,0,0.0,5,10000,11.11,0.08,0,2,0.00019166666666666667
4526,3,7.0,1,11400,17.93,0.18,0,3,0.0003650793650793651
46274,0,12.0,2,12000,10.0,0.15,0,10,0.0003875
20326,0,6.0,4,8000,5.79,0.13,0,4,0.00036666666666666667
26920,3,4.0,1,5000,12.84,0.15,1,14,0.0010588235294117646
23898,0,9.0,4,8000,11.49,0.11,0,2,0.00035714285714285714
45538,3,2.0,1,8000,11.83,0.19,0,3,0.0004883720930232558
2102,3,3.0,3,5000,10.99,0.17,0,2,0.0008333333333333334
34749,0,0.0,2,3600,15.58,0.04,1,5,0.00036666666666666667
20442,3,2.0,1,5000,11.89,0.13,0,2,0.0006500650065006501
26486,2,7.0,4,4200,13.57,0.06,1,6,0.0005223880597014925
12,0,1.0,1,4000,10.75,0.12,0,3,0.0007575757575757576
15560,2,9.0,4,7000,8.63,0.16,0,7,0.0008139534883720931
41795,3,0.0,4,2000,13.49,0.03,0,8,0.00046666666666666666
16838,0,2.0,5,7200,15.96,0.09,1,4,0.000275
26065,3,7.0,4,9000,10.99,0.29,0,3,0.0007371794871794872
43465,0,0.0,2,5600,11.11,0.09,0,7,0.00048333333333333334
43249,0,4.0,1,7000,7.68,0.08,0,11,0.00042857142857142855
21998,3,3.0,5,4000,15.99,0.09,1,2,0.0004888888888888889
51201,3,2.0,0,6000,10.25,0.1,0,3,0.00043010752688172043
14718,3,6.0,1,5000,11.49,0.07,0,12,0.0005333333333333334
48549,3,6.0,0,8500,7.9,0.19,0,3,0.0004888888888888889
20407,0,14.0,2,3000,7.14,0.06,0,5,0.0006
15770,3,3.0,0,3500,10.25,0.06,0,5,0.0005666666666666667
6228,3,3.0,1,7000,12.99,0.22,1,4,0.00071875
20764,0,2.0,0,3000,12.69,0.03,0,2,0.00029809676679660627
7972,3,0.0,3,10000,7.66,0.08,0,7,0.000224
25427,0,6.0,0,16000,6.17,0.2,0,4,0.0003
43080,0,2.0,5,7000,7.66,0.08,0,4,0.0002555555555555556
8241,3,0.0,1,5000,13.22,0.09,0,13,0.0007962962962962962
20972,0,6.0,4,2500,6.03,0.03,0,13,0.00043531460304014306
5051,3,5.0,3,4000,12.42,0.1,0,6,0.000725
7175,0,4.0,1,12000,9.63,0.14,0,3,0.0002588235294117647
5906,0,14.0,5,6000,9.63,0.09,0,7,0.00042857142857142855
57083,3,3.0,4,20000,14.42,0.24,0,3,0.00027710843373493976
54179,3,4.0,1,10800,7.88,0.34,0,4,0.00075
6926,3,4.0,3,7500,10.65,0.15,0,7,0.0005510204081632653
47071,3,5.0,1,2000,12.69,0.04,0,3,0.0005111111111111112
26810,0,9.0,5,14000,15.65,0.16,1,15,0.0004
17076,3,1.0,1,12000,13.61,0.3,1,4,0.00055005500550055
32431,3,3.0,2,15200,10.25,0.42,0,2,0.0006666666666666666
30926,3,8.0,4,5000,15.96,0.13,0,8,0.0007692307692307692
1571,0,8.0,3,6000,7.14,0.06,0,3,0.00025
37748,0,6.0,0,25000,11.36,0.36,0,3,0.00035714285714285714
6279,3,15.0,3,23500,10.62,0.4,0,9,0.0005102040816326531
17657,0,7.0,5,10000,10.74,0.2,0,3,0.00046
30338,3,4.0,0,5000,10.65,0.06,0,9,0.0003111111111111111
42003,0,11.0,5,5000,7.51,0.07,0,7,0.0004
1492,0,3.0,2,9000,11.49,0.15,0,7,0.00046666666666666666
54272,3,1.0,0,16000,6.54,0.18,0,9,0.0003
10957,3,0.0,4,3500,12.98,0.14,1,6,0.0012802048327732437
3054,3,7.0,1,8000,11.99,0.13,0,5,0.00045161290322580643
22918,3,6.0,1,12000,7.9,0.3,0,3,0.00055
5134,3,0.0,4,10000,11.49,0.13,0,9,0.0004
41318,3,0.0,3,4000,7.49,0.14,0,2,0.0007638888888888889
31718,3,4.0,5,10000,15.65,0.16,0,7,0.0005081967213114754
30248,0,0.0,1,8000,12.87,0.12,1,3,0.00036920804873546244
2811,0,9.0,2,8000,9.25,0.13,0,7,0.0005645161290322581
